"price","sqft","bedrooms","baths","age","pool","style","fireplace","waterfront","dom"
72500,1203,3,1,35,0,1,0,0,6
146000,2536,4,2,1,0,1,0,0,111
35000,1714,3,1,35,0,1,1,0,33
124400,1848,3,2,8,0,1,1,0,176
97500,1358,3,2,25,0,1,1,0,35
62000,1090,3,1,35,0,1,0,0,168
165900,2174,3,2,1,0,1,1,0,154
129800,2348,3,2,1,0,1,0,0,0
133800,2418,4,2,1,0,1,0,0,0
80001,2291,3,2,25,0,1,1,0,7
128900,2770,4,2,45,0,1,0,0,26
110000,2005,3,2,25,0,1,0,0,71
196900,2779,4,2,1,0,1,0,0,71
122000,1308,3,2,8,0,1,1,0,7
128000,2083,4,2,8,1,1,0,0,34
120000,2222,4,2,35,0,1,0,0,150
59895,1865,3,2,25,0,1,0,0,65
207255,2135,3,2,1,0,1,0,0,36
163500,2517,4,2,8,0,1,1,0,15
97900,2419,3,2,18,0,1,0,0,46
68500,790,1,1,18,0,1,1,0,8
87000,1974,3,1,35,0,1,0,0,387
120459,1590,3,2,35,0,1,1,0,27
36000,900,3,1,35,0,1,0,0,40
103000,2246,3,2,25,0,1,1,0,9
22654,1080,2,1,63,0,1,0,0,8
114500,1933,3,2,1,0,1,0,0,21
69000,1236,3,2,35,0,1,0,0,301
143000,2452,3,2,18,0,1,1,0,7
137900,1595,3,2,25,0,1,0,0,31
134300,2418,4,2,1,0,1,0,0,144
125000,2127,3,2,2,0,1,0,0,59
135700,2418,4,2,1,0,1,0,0,47
142000,2532,4,2,2,0,1,1,1,227
100900,1514,3,2,8,0,1,0,0,11
146715,2467,3,2,1,0,1,0,0,0
325000,3812,4,3,13,0,1,1,0,3
111900,1933,3,2,1,0,1,0,0,0
118500,2550,4,2,35,0,1,0,0,124
85000,1400,3,2,35,0,1,0,0,26
135000,1914,3,2,2,0,1,0,0,35
98900,1228,2,2,25,0,1,1,0,123
33000,1579,3,1,45,0,1,0,0,32
82300,1231,3,1,35,0,1,0,0,44
120500,1977,3,2,2,0,1,1,0,43
167500,2560,3,2,2,0,1,1,0,149
124000,1372,3,2,8,0,1,1,0,7
148000,3027,3,2,45,0,1,1,0,79
287500,2087,3,2,63,0,1,1,0,4
72500,1500,4,1,45,0,1,0,0,30
675000,5858,4,3,8,0,1,1,1,157
111900,1933,3,2,1,0,1,0,0,191
137500,1965,3,2,25,0,1,1,0,11
105000,2200,3,2,25,0,1,1,0,186
129000,2379,3,2,1,0,1,0,0,233
89000,1358,3,2,18,0,1,0,0,39
255000,3251,4,3,5,0,1,1,0,125
67500,1321,3,2,45,0,1,0,0,4
175900,3116,5,3,1,0,1,0,0,0
243900,2457,4,2,13,1,1,1,0,9
425000,6194,6,5,8,0,1,1,1,14
195500,2923,4,2,13,0,1,1,0,12
66000,741,1,1,18,1,1,0,0,23
254000,3122,4,3,8,0,1,1,0,33
138500,1541,3,2,13,0,1,0,0,9
219000,2918,3,3,63,0,1,1,0,263
94900,2466,3,2,35,0,1,0,0,21
119900,2457,4,2,25,0,1,0,0,8
118000,1933,3,2,2,0,1,0,0,15
103100,1772,3,2,1,0,1,0,0,0
355000,4325,4,3,5,0,1,1,0,9
95700,1485,3,2,25,0,1,1,0,89
113000,2166,3,2,25,0,1,1,0,30
212500,3453,3,2,13,0,1,1,0,2
171000,1588,3,2,5,0,1,0,0,51
124900,2917,3,2,25,0,1,1,0,5
177500,2636,3,2,8,0,1,1,0,8
119000,1350,3,2,8,0,1,1,0,47
60000,876,3,1,45,0,1,0,0,46
128200,2379,3,2,1,0,1,0,0,149
287500,4033,3,4,25,1,1,1,0,22
188900,2813,3,2,13,0,1,1,0,10
290000,4215,4,3,8,0,1,1,0,58
114000,2193,4,2,45,0,1,1,0,26
72190,1349,3,2,35,0,1,0,0,25
109500,1989,3,2,18,0,1,1,0,83
121900,2200,3,2,25,0,1,1,0,26
184700,3279,4,2,25,1,1,1,0,40
111900,1615,3,2,8,0,1,0,0,192
144500,1548,3,2,8,0,1,1,0,18
133000,2496,3,2,25,0,1,1,0,9
170000,2477,3,2,8,0,1,1,0,1
105000,1927,3,2,25,0,1,0,0,93
124000,2989,3,2,45,0,1,0,0,50
126600,2348,3,2,1,0,1,0,0,0
133000,2418,4,2,1,0,1,0,0,0
95000,2041,3,2,45,0,1,0,0,42
103500,1483,3,2,18,0,1,0,0,71
91500,1341,3,1,18,0,1,0,0,6
175000,2948,4,2,25,0,1,1,0,94
98300,1887,3,2,45,0,1,0,0,35
178000,2432,4,2,25,0,1,1,0,45
42000,1489,3,1,35,0,1,0,0,12
109275,1150,3,2,1,0,1,0,0,3
192500,2681,3,2,8,0,1,1,1,56
115000,2447,3,2,35,1,1,0,0,7
185000,2495,3,2,18,0,1,1,0,68
209100,3456,4,3,1,0,1,0,0,173
154650,2459,3,2,1,0,1,0,0,271
100000,1556,3,1,1,0,1,0,0,36
62241,1615,3,2,25,0,1,0,0,2
176900,2374,3,2,1,0,1,1,0,203
142900,1668,3,2,18,0,1,1,0,6
84500,1162,3,1,25,0,1,0,0,43
143000,1613,3,2,8,0,1,1,0,31
119000,1389,3,2,25,0,1,1,0,20
152500,1765,3,2,25,0,1,0,0,15
199000,2027,4,2,8,0,1,1,0,14
440000,4411,4,3,2,1,1,1,0,20
54000,1165,2,1,35,0,1,0,0,190
160500,3040,4,2,1,0,1,0,0,142
131900,2226,3,2,8,0,1,1,0,151
110000,1819,3,2,35,0,1,0,0,5
422900,4601,5,3,8,1,1,1,0,29
330000,4249,5,3,8,1,1,1,0,41
126000,1931,4,2,25,0,1,0,0,33
98000,1680,3,1,35,0,1,0,0,70
120000,1864,3,2,1,0,1,1,0,84
265000,4688,4,3,63,0,1,1,0,139
152400,2842,4,2,1,0,1,0,0,97
93000,1602,4,2,45,0,1,0,0,248
77500,1330,3,1,25,0,1,0,0,28
100000,1453,3,2,18,0,1,0,0,8
80000,2176,4,2,63,0,1,0,0,19
120000,3329,3,2,35,0,1,0,0,9
134000,2086,3,2,1,0,1,1,0,3
134600,2418,4,2,1,0,1,0,0,0
120000,1438,2,1,45,0,1,0,0,30
125000,2071,3,2,13,0,1,1,0,16
60000,1383,3,2,25,0,1,1,0,14
121300,1977,3,2,1,0,1,0,0,133
94900,1485,4,2,1,0,1,0,0,26
123000,2590,3,2,45,0,1,0,0,21
172000,2268,3,2,8,0,1,0,0,11
114900,1805,3,2,2,0,1,0,0,57
242900,2866,4,3,1,0,1,1,0,301
135000,2573,4,2,35,0,1,0,0,45
153900,2522,3,2,1,0,1,1,0,133
125000,2367,3,2,25,0,1,1,0,85
153000,1668,3,2,8,0,1,1,0,74
142900,1992,3,2,8,0,1,1,0,70
214000,3041,3,2,2,0,1,1,0,70
119400,1996,3,2,18,0,1,1,0,17
120000,1644,3,2,35,0,1,0,0,24
55500,810,3,1,35,0,1,0,0,27
121000,1952,3,2,8,0,1,1,0,68
109900,1858,3,2,25,0,1,1,0,349
167000,2696,4,2,13,0,1,0,0,174
137800,2373,4,2,25,0,1,0,0,86
147000,2280,4,2,1,0,1,1,0,406
99000,1808,3,2,18,0,1,0,0,7
163600,2717,4,2,1,0,1,0,0,0
112900,2090,3,2,13,0,1,1,0,14
124175,1864,3,2,1,0,1,1,0,57
161000,2420,3,2,1,0,1,1,1,447
158000,3593,4,2,25,1,1,1,0,516
131000,2170,3,2,13,0,1,0,0,21
286000,3010,4,2,1,0,1,1,0,51
50000,2191,3,1,45,0,1,0,0,32
85000,1300,3,1,25,0,1,0,0,199
75000,2294,3,3,35,0,1,0,0,19
87000,1377,3,2,63,0,1,0,0,15
106500,2019,4,1,25,0,1,0,0,21
150000,2800,4,2,25,0,1,1,0,13
137000,2681,3,2,35,0,1,1,0,100
154000,3179,4,3,25,0,1,0,0,123
85000,2072,4,2,25,0,1,1,0,11
169900,2595,3,2,8,0,1,1,1,4
119000,2113,3,2,25,1,1,1,0,16
103000,3153,3,2,35,0,1,1,0,46
128600,2182,3,2,1,0,1,0,0,64
154600,2932,4,2,1,0,1,0,0,221
106000,1510,3,2,18,0,1,1,0,21
149500,2712,3,2,25,0,1,1,0,22
170000,2076,4,3,13,0,1,0,0,107
190000,2628,3,3,45,0,1,1,0,7
168500,2201,3,2,8,0,1,1,0,30
87500,1463,4,2,25,0,1,1,0,25
226900,2879,3,2,1,0,1,1,0,88
57000,1393,3,1,35,0,1,0,0,90
66500,741,1,1,18,1,1,1,0,6
188000,3125,3,2,8,0,1,1,0,10
93300,1501,3,1,35,0,1,0,0,10
165000,1965,3,2,63,1,1,0,0,210
600000,6119,4,4,63,0,1,1,0,256
177000,2353,4,2,18,1,1,1,0,49
154650,2211,3,2,1,0,1,1,0,1
79900,1511,3,1,25,0,1,0,0,6
225000,3137,4,2,5,0,1,1,0,169
246000,2666,3,2,45,0,1,1,0,10
149900,2228,3,2,1,0,1,1,0,77
221000,3039,4,2,1,0,1,1,0,223
163000,2207,3,2,8,0,1,1,0,76
82900,1400,3,2,35,0,1,0,0,0
109000,2145,3,2,25,0,1,1,0,40
31000,1590,3,1,45,0,1,1,0,171
172500,3310,3,2,45,0,1,1,0,155
146000,1810,3,2,35,0,1,1,0,255
189801,3382,4,3,1,0,1,0,0,41
80000,1486,3,1,35,0,1,1,0,163
157900,2462,3,2,1,0,1,1,0,221
107900,1707,3,2,2,0,1,1,0,6
155615,2842,4,2,1,0,1,0,0,80
182500,3078,4,2,35,0,1,1,0,7
138900,2536,4,2,1,0,1,0,0,242
138800,2536,4,2,1,0,1,0,0,32
110000,1806,3,2,18,0,1,1,0,36
159850,2376,4,2,1,0,1,1,1,241
162000,3280,4,2,25,0,1,1,0,46
60000,1131,3,1,63,0,1,0,0,0
108000,2461,3,3,25,1,1,0,0,51
133400,2418,4,2,1,0,1,0,0,0
89900,1393,3,1,45,0,1,0,0,43
101313,1228,2,2,25,0,1,1,0,132
60000,1336,3,1,35,0,1,0,0,42
175000,3234,4,2,25,1,1,1,0,15
127000,2011,3,2,25,0,1,1,0,18
72500,1411,3,1,25,0,1,1,0,13
150000,2523,3,2,25,0,1,1,0,31
116500,2518,4,2,25,0,1,1,0,8
163000,2605,4,2,25,0,1,0,0,7
239900,3172,4,3,5,0,1,1,0,27
102000,2376,3,1,45,0,1,1,0,91
62500,1440,2,2,25,0,1,1,0,113
135500,2122,3,2,1,0,1,0,0,390
400000,3133,4,3,8,0,1,1,0,51
126900,1886,4,2,1,0,1,1,0,44
89000,1591,3,2,35,0,1,0,0,51
144500,2122,4,2,2,0,1,0,0,110
134200,2418,4,2,1,0,1,0,0,0
109200,2100,3,2,25,0,1,0,0,17
135000,2876,3,2,25,0,1,1,0,44
137500,1937,3,2,2,0,1,1,0,25
182500,3171,4,2,18,0,1,1,0,216
98500,2296,3,2,35,0,1,0,0,60
132500,1296,3,2,18,0,1,0,0,1
315000,2802,4,4,35,0,1,1,0,41
125000,1879,3,2,13,0,1,1,0,72
143000,2331,2,2,25,0,1,1,0,86
134000,2246,3,2,5,0,1,1,0,97
93900,1500,3,2,25,0,1,0,0,27
102800,1670,3,2,1,0,1,0,0,0
63000,1800,3,2,63,0,1,0,0,38
128000,1958,3,2,2,0,1,1,0,49
144000,2669,4,2,35,0,1,1,0,71
57500,1847,3,2,35,0,1,0,0,11
136900,2418,4,2,1,0,1,0,0,36
99900,1495,3,2,25,0,1,0,0,10
128000,2134,3,2,1,0,1,1,0,73
58500,1562,2,1,35,0,1,0,0,83
134900,2403,3,2,25,0,1,1,0,80
124900,2272,3,2,35,0,1,1,0,34
139900,3266,3,2,25,0,1,1,0,8
127800,2131,3,2,5,0,1,1,0,11
130500,2910,3,2,45,0,1,0,0,45
194900,3010,4,2,1,0,1,0,0,114
98900,1956,3,1,35,0,1,1,0,34
117000,2320,3,2,25,0,1,0,0,84
290000,2824,3,2,25,0,1,1,0,73
214000,3122,4,2,13,0,1,1,0,34
142900,2936,4,2,35,0,1,1,0,16
164900,2669,4,2,25,0,1,1,0,9
122000,2044,3,2,2,0,1,1,0,147
139300,2536,4,2,1,0,1,0,0,0
186000,2940,3,2,35,0,1,1,0,36
295000,3731,4,3,18,0,1,1,1,77
75000,1617,3,2,5,0,1,0,0,40
190000,3264,3,2,18,1,1,1,0,5
285500,3670,4,3,13,1,1,1,0,13
23000,933,2,1,45,0,1,0,0,3
176700,3031,5,3,45,0,1,0,0,101
126600,2348,3,2,1,0,1,0,0,0
95000,1801,3,2,45,0,1,1,0,97
226000,3368,4,2,1,0,1,1,0,135
126900,2623,3,2,25,0,1,0,0,22
61500,1763,3,1,35,0,1,0,1,95
118900,1872,4,2,25,0,1,0,0,8
116300,2773,3,2,25,0,1,1,0,24
189900,1936,3,2,45,0,1,1,0,11
136000,2024,3,2,5,0,1,1,1,10
115000,2007,3,2,8,0,1,1,0,6
161900,2415,3,2,5,0,1,1,0,30
79900,2610,3,1,45,0,1,0,0,77
109500,1970,3,2,5,0,1,0,0,11
120500,2055,3,2,25,0,1,0,0,38
115900,2554,3,2,45,0,1,1,0,162
118000,2798,3,2,25,0,1,1,0,188
335000,3060,3,2,45,0,1,0,0,7
86000,2037,3,2,35,0,1,0,0,26
128000,1304,3,2,45,0,1,0,0,22
109300,1886,3,2,1,0,1,0,0,143
73500,1266,3,1,35,0,1,0,0,25
196900,2642,4,2,8,0,1,1,0,80
95000,1741,3,2,2,0,1,0,0,175
113700,2016,3,2,5,0,1,0,0,5
45000,1130,3,1,35,0,1,1,0,74
227500,3262,4,2,8,0,1,1,0,53
93000,1963,3,1,45,0,1,0,0,40
127000,2412,3,2,25,0,1,1,0,27
119900,2490,3,2,35,0,1,0,0,135
133800,2418,4,2,1,0,1,0,0,0
110000,2739,5,3,35,0,1,0,0,15
360000,6213,4,5,25,1,1,1,0,418
40101,850,2,1,63,0,1,0,0,4
23000,956,2,1,35,0,1,0,0,51
95000,1745,2,1,45,0,1,0,0,41
161500,2302,3,2,8,0,1,1,0,28
144000,2389,3,2,13,0,1,1,0,35
142000,2280,4,2,1,0,1,1,0,420
90900,1337,3,1,25,0,1,1,0,121
45900,1801,3,1,35,0,1,0,0,72
168000,2325,3,2,5,1,1,1,0,24
136400,2534,3,2,25,0,1,1,0,130
114500,2103,3,2,2,0,1,1,0,18
150000,3425,4,2,35,0,1,1,1,7
22000,1414,3,1,35,0,1,0,0,279
138900,2360,3,2,18,0,1,1,0,89
196900,2779,4,2,1,0,1,0,0,427
270000,5814,3,3,63,0,1,1,1,3
122900,2312,3,2,2,0,1,0,0,7
157500,2458,3,2,1,0,1,0,0,290
193500,3438,4,2,13,0,1,1,0,318
122100,2087,3,2,1,0,1,0,0,0
129900,2348,3,2,1,0,1,0,0,3
155000,1757,3,2,8,1,1,1,0,219
116000,2453,3,2,25,0,1,1,0,52
248900,3206,4,2,13,0,1,1,0,101
76000,1433,3,1,35,0,1,0,0,220
123800,2105,3,2,1,0,1,0,0,212
263000,3682,3,2,13,0,1,1,0,8
116900,1910,3,2,8,0,1,1,0,58
100300,1745,3,1,35,0,1,0,0,11
392250,3535,4,3,2,0,1,1,0,147
126500,1954,4,2,1,0,1,0,1,139
141000,2703,3,2,25,0,1,1,0,39
103500,2565,3,2,18,0,1,0,0,134
85000,1421,3,1,25,0,1,0,0,42
175000,3756,4,2,35,0,1,0,0,118
114000,1937,3,2,2,0,1,0,0,88
336000,4133,4,3,13,0,1,1,1,57
119900,2645,3,1,35,0,1,1,0,7
158000,2376,3,2,1,0,1,1,0,34
129900,2072,3,2,2,0,1,1,0,20
175000,2267,4,2,25,0,1,1,0,71
162900,2010,3,2,1,0,1,0,0,2
133400,2348,3,2,1,0,1,0,0,39
51500,1700,3,2,35,0,1,0,0,13
65500,1277,3,2,5,0,1,0,0,21
70500,1376,3,1,35,0,1,0,0,139
124900,1921,3,2,1,0,1,1,0,155
114000,1744,3,2,8,0,1,1,0,72
98500,1152,3,2,5,0,1,0,0,11
115000,2205,3,2,35,0,1,0,0,38
130000,2051,3,2,25,0,1,0,0,31
71000,1949,4,2,45,0,1,1,0,95
318600,3600,4,3,1,0,1,1,1,118
130000,1296,3,2,18,0,1,1,0,60
132600,2348,3,2,1,0,1,0,0,75
103500,1452,3,2,18,0,1,0,0,14
124900,1840,3,2,1,0,1,1,0,7
86000,1418,3,1,25,0,1,0,0,10
142000,2545,3,2,35,0,1,0,0,92
78000,1916,3,2,25,0,1,0,0,121
125000,5803,8,1,63,0,1,0,0,673
119900,2282,3,2,25,0,1,1,0,25
113500,1960,3,2,1,0,1,0,0,103
114000,3299,3,2,25,0,1,1,0,13
280000,3983,4,3,5,0,1,1,1,89
142900,1995,3,2,8,1,1,1,0,49
67500,2419,3,2,25,0,1,0,0,0
113400,1960,3,2,1,0,1,0,0,218
75000,1303,2,1,45,0,1,0,0,329
98350,1228,2,2,25,0,1,1,0,137
111500,2212,3,2,18,0,1,1,0,47
149000,2135,3,2,5,0,1,1,0,37
174000,2768,4,2,2,0,1,1,0,16
129800,2348,3,2,1,0,1,0,0,0
149000,2876,3,2,45,0,1,1,0,2
210000,4315,4,2,25,0,1,1,0,60
154600,2932,4,2,1,0,1,0,0,0
106000,1843,3,2,8,0,1,1,0,5
230000,3168,4,2,8,0,1,0,0,30
89000,1588,3,2,25,0,1,0,0,101
143000,2136,3,2,8,0,1,1,0,103
164300,2980,4,2,1,0,1,0,0,134
97500,1790,3,2,25,0,1,1,0,11
139900,4130,4,2,45,0,1,0,0,15
146400,2444,3,2,8,0,1,1,0,42
102500,2196,3,2,25,0,1,0,0,8
41500,1015,3,1,45,0,1,0,0,11
64900,1970,4,1,35,0,1,1,0,70
92000,1346,3,2,18,0,1,0,0,31
82000,1396,3,2,35,0,1,0,0,27
122700,2087,3,2,1,0,1,0,0,1
158900,2523,4,2,1,0,1,0,0,11
149900,2486,3,2,18,0,1,0,0,7
104000,2095,3,2,25,0,1,1,0,3
112900,1215,3,2,8,0,1,1,0,86
237000,4244,4,3,25,1,1,0,0,29
129000,2701,3,2,35,0,1,0,0,6
181900,2985,4,2,1,0,1,0,0,0
